source_ip,source_port,destination_port,honeypot,country
"35.239.84.63",36158,65389,"dionaea",
"35.239.84.63",40492,10025,"dionaea",
"35.239.84.63",50724,3030,"dionaea",
"35.239.84.63",33488,84,"dionaea",
"35.239.84.63",58712,6543,"dionaea",
"35.239.84.63",56826,30,"dionaea",
"35.239.84.63",43056,4002,"dionaea",
"35.239.84.63",48830,616,"dionaea",
"35.239.84.63",55592,2605,"dionaea",
"35.239.84.63",50476,16080,"dionaea",
"35.239.84.63",51850,8291,"dionaea",
"35.239.84.63",35736,1805,"dionaea",
"35.239.84.63",40344,7007,"dionaea",
"35.239.84.63",38018,8383,"dionaea",
"35.239.84.63",41028,7676,"dionaea",
"35.239.84.63",45704,8333,"dionaea",
"35.239.84.63",59130,12000,"dionaea",
"35.239.84.63",50152,900,"dionaea",
"35.239.84.63",43036,406,"dionaea",
"35.239.84.63",55304,2179,"dionaea",
"35.239.84.63",47568,1600,"dionaea",
"35.239.84.63",60582,49161,"dionaea",
"35.239.84.63",54844,691,"dionaea",
"35.239.84.63",43012,3945,"dionaea",
"35.239.84.63",54840,888,"dionaea",
"35.239.84.63",44544,5414,"dionaea",
"35.239.84.63",35768,1300,"dionaea",
"35.239.84.63",58300,1687,"dionaea",
"35.239.84.63",57640,2260,"dionaea",
"35.239.84.63",38978,5907,"dionaea",
"35.239.84.63",42252,7625,"dionaea",
"35.239.84.63",41742,3221,"dionaea",
"35.239.84.63",56322,15004,"dionaea",
"35.239.84.63",50304,1090,"dionaea",
"35.239.84.63",45002,6001,"dionaea",
"35.239.84.63",54162,57797,"dionaea",
"35.239.84.63",47006,700,"dionaea",
"35.239.84.63",59486,10566,"dionaea",
"35.239.84.63",51822,16012,"dionaea",
"35.239.84.63",38442,3546,"dionaea",
"35.239.84.63",35024,31038,"dionaea",
"35.239.84.63",47738,81,"dionaea",
"35.239.84.63",60482,4899,"dionaea",
"35.239.84.63",33988,16992,"dionaea",
"35.239.84.63",43850,4567,"dionaea",
"35.239.84.63",43848,8192,"dionaea",
"35.239.84.63",59242,6567,"dionaea",
"35.239.84.63",36636,4242,"dionaea",
"35.239.84.63",39444,8701,"dionaea",
"35.239.84.63",38052,5544,"dionaea",
"35.239.84.63",44294,4,"dionaea",
"35.239.84.63",40084,2047,"dionaea",
"35.239.84.63",48476,1049,"dionaea",
"35.239.84.63",35688,1301,"dionaea",
"35.239.84.63",59220,1998,"dionaea",
"35.239.84.63",39720,4550,"dionaea",
"35.239.84.63",35656,7778,"dionaea",
"35.239.84.63",59646,1051,"dionaea",
"35.239.84.63",48658,2020,"dionaea",
"35.239.84.63",47990,1169,"dionaea",
"35.239.84.63",35534,5633,"dionaea",
"35.239.84.63",41164,6667,"dionaea",
"35.239.84.63",45464,32772,"dionaea",
"35.239.84.63",53956,3324,"dionaea",
"35.239.84.63",57230,2040,"dionaea",
"35.239.84.63",57798,548,"dionaea",
"35.239.84.63",55670,6788,"dionaea",
"35.239.84.63",46992,1099,"dionaea",
"35.239.84.63",59602,4848,"dionaea",
"35.239.84.63",60764,1036,"dionaea",
"35.239.84.63",56362,2119,"dionaea",
"35.239.84.63",33772,2601,"dionaea",
"35.239.84.63",52952,10024,"dionaea",
"35.239.84.63",51134,8045,"dionaea",
"194.28.115.243",53562,33893,"dionaea",
"35.239.84.63",58226,3517,"dionaea",
"35.239.84.63",38626,6901,"dionaea",
"35.239.84.63",42284,9898,"dionaea",
"35.239.84.63",45228,44176,"dionaea",
"35.239.84.63",43102,5051,"dionaea",
"35.239.84.63",48784,3766,"dionaea",
"35.239.84.63",55350,911,"dionaea",
"35.239.84.63",57118,2608,"dionaea",
"35.239.84.63",49194,1113,"dionaea",
"35.239.84.63",50300,8994,"dionaea",
"35.239.84.63",54176,1217,"dionaea",
"35.239.84.63",39290,425,"dionaea",
"35.239.84.63",35574,3370,"dionaea",
"35.239.84.63",57564,5811,"dionaea",
"46.101.9.8",47841,8088,"dionaea",
"35.239.84.63",53016,8194,"dionaea",
"35.239.84.63",47424,9878,"dionaea",
"35.239.84.63",50778,8082,"dionaea",
"35.239.84.63",40326,1533,"dionaea",
"35.239.84.63",41242,6839,"dionaea",
"35.239.84.63",58296,9944,"dionaea",
"35.239.84.63",52994,1130,"dionaea",
"35.239.84.63",41574,1046,"dionaea",
"35.239.84.63",52590,3071,"dionaea",
"35.239.84.63",36308,20000,"dionaea",
"35.239.84.63",39050,5440,"dionaea",
"35.239.84.63",32850,1031,"dionaea",
"35.239.84.63",41570,912,"dionaea",
"35.239.84.63",44914,1047,"dionaea",
"35.239.84.63",35222,7200,"dionaea",
"35.239.84.63",37738,1163,"dionaea",
"35.239.84.63",43198,1077,"dionaea",
"35.239.84.63",41148,902,"dionaea",
"35.239.84.63",36874,1126,"dionaea",
"35.239.84.63",39264,6006,"dionaea",
"35.239.84.63",60494,11111,"dionaea",
"35.239.84.63",56884,5666,"dionaea",
"35.239.84.63",60112,3971,"dionaea",
"35.239.84.63",41858,2105,"dionaea",
"35.239.84.63",57320,1122,"dionaea",
"35.239.84.63",49310,1461,"dionaea",
"35.239.84.63",53270,2920,"dionaea",
"35.239.84.63",48120,12345,"dionaea",
"35.239.84.63",41554,1863,"dionaea",
"35.239.84.63",51488,3889,"dionaea",
"35.239.84.63",34250,49157,"dionaea",
"35.239.84.63",42106,5225,"dionaea",
"35.239.84.63",47666,1839,"dionaea",
"35.239.84.63",34098,23502,"dionaea",
"35.239.84.63",52324,32768,"dionaea",
"35.239.84.63",56720,5950,"dionaea",
"35.239.84.63",51478,43,"dionaea",
"35.239.84.63",36970,49165,"dionaea",
"35.239.84.63",56970,6646,"dionaea",
"35.239.84.63",41792,1247,"dionaea",
"35.239.84.63",48592,1072,"dionaea",
"35.239.84.63",55468,8011,"dionaea",
"35.239.84.63",43278,32775,"dionaea",
"35.239.84.63",32898,9103,"dionaea",
"35.239.84.63",57678,8022,"dionaea",
